kategori_obat,obat,Description,Dosis ,Efek Samping,Cara_Penyimpanan
Nutrisi Parenteral,Valamin,"Valamin di gunakan untuk mengatasi hipoproteinemia (kekurangan protein dalam tubuh) karena masalah gastrointestinal, luka bakar.","Dosis individual. Dosis biasa: 500 mL / hari. Dosis penggunaan Valamin Infus juga harus dikonsultasikan dengan Dokter terlebih dahulu sebelum digunakan, karena dosis penggunaan nya berbeda-beda setiap individu tergantung berat tidaknya penyakit yang diderita.","Interaksi Obat
Tidak boleh di berikan bersamaan dengan kalsium.","Kontraindikasi
Hindari penggunaan Valamin pada pasien yang memiliki indikasi:"
Nutrisi Parenteral,Soluvit N,Soluvit N merupakan obat berbentuk serbuk infus yang diindikasikan pada pasien dewasa dan anak-anak sebagai suplemen nutrisi intravena untuk memenuhi kebutuhan harian vitamin yang larut dalam air.,Soluvit N digunakan sebagai suplemen nutrisi yang diberikan melalui infus untuk memenuhi kebutuhan harian orang dewasa dan anak terhadap vitamin yang larut dalam air.,Aturan penggunaan obat Soluvit N adalah sebagai berikut:,Soluvit N merupakangolongan obat keras sehingga penggunaanya harus sesuai dengan resep dokter.
Nutrisi Parenteral,Smoflipid,"Smoflipid adalah sediaan obat yang SMOFlipid infus mediindikasikan untuk memberikan energi, dan memberikan lemak esensial secara parenteral","Efek samping yang mungkin terjadi selama pengunaan Smoflipid, antara lain:","Interaksi Obat
Tidak boleh diberikan secara bersamaan dengan Heparin.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Nutrisi Parenteral,Renxamin,Renxamin adalah obat sediaan infus untuk meningkatkan protein dan nutrisi pada pasien dengan gangguan ginjal. Apa sajakah komposisi Renxamin?,Berikut penjelasan lengkap seputar Renxamin infus untuk apa.,Manfaat Renxamin adalah sebagai terapi tambahan pada pasien gagal ginjal akut dan kronis.,Artikel lainnya: Mengenal Tahapan Penyakit Ginjal Kronis Pemicu Gagal Ginjal
Nutrisi Parenteral,Otsutran-40,"Otsutran-40 merupakan cairan infus diindikasikan untuk pengganti darah, luka bakar, perdarahan akut.","Efek samping yang mungkin terjadi, antara lain:","Interaksi Obat
Otsutran-40 akan berinteraksi jika diberikan bersamaan dengan antibiotik golongan aminoglikosida.","Kontraindikasi
Hindari penggunaan Otsutran-40 pada penderita:"
Nutrisi Parenteral,Olimel N9E,Olimel N9E adalah sediaan obat yang digunakan untuk nutrisi parenteral yang dibutuhkan pada pasien kritis,Efek samping yang mungkin terjadi selama penggunaan Olimel N9E adalah:,"Interaksi Obat
Hindari penggunaan bersamaan dengan Ceftriaxone dan produk darah.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Nutrisi Parenteral,Octalbin,Octalbin adalah obat yang digunakan untuk menjaga keseimbangan elektrolit dalam tubuh.,"Cara Penyimpanan
Simpan pada suhu 25 derajat Celcius.","Kontraindikasi
Hindari penggunaan Octalbin pada pasien yang memiliki indikasi hipersensitif atau alergi.","Efek samping yang mungkin terjadi selama pengunaan Octalbin, yaitu:"
Nutrisi Parenteral,Kidmin,Kidmin adalah obat untuk memenuhi kebutuhan asam amino pada pasien gangguan ginjal. Apa komposisi Kidmin? Simak penjelasannya di sini.,Kidmin termasuk ke dalam golongan obat keras. Dosis penggunaannya harus dikonsultasikan kepada dokter.,Tujuan: memenuhi kebutuhan asam amino pada gagal ginjal kronik,Adapun aturan penggunaan Kidmin secara umum adalah sebagai berikut.
Nutrisi Parenteral,Kalbamin,"Kalbamin adalah larutan infus yang digunakan untuk membantu mengatasi malnutrisi, membantu mengatasi cedera atau trauma.",Kalbamin merupakan obat yang termasuk ke dalam golongan obat keras sehingga pada setiap pembeliannya harus menggunakan resep dokter.,"Simpan pada tempat yang sejuk dan kering, terhindar dari cahaya langsung.","Selain itu, dosis penggunaan Kalbamin juga harus dikonsultasikan dengan dokter terlebih dahulu sebelum digunakan, karena dosis penggunaannya berbeda-beda setiap individu. Penggunaan Kalbamin injeksi harus dibantu oleh tenaga ahli medis. Umumnya, dosis diberikan 1-1,5 g/kg berat badan/hari, secara infus intravena lambat."
Nutrisi Parenteral,Kabiven Peripheral,"Kabiven peripheral adalah cairan infus dengan kandungan gula, asam amino, dan elektrolit. Penggunaan obat ini harus melalui resep dokter.","Kabiven digunakan sebagai terapi perawatan kanker, kadar gula darah rendah, dehidrasi, skizofrenia, depresi, detoksifikasi hati, kelelahan, intoleransi terhadap sukrosa, dan kondisi lainnya.","Kabiven peripheral adalah obat keras. Oleh karena itu, Anda harus berkonsultasi terlebih dulu kepada dokter dan mendapatkan resep ini melalui dokter.",Artikel Lainnya: Mengapa Tubuh Lelah Meski Cukup Istirahat?
